Date,Open,High,Low,Adj Close,Volume,SMAVG (15)
25/4/2012,43.2064,43.6044,42.9439,43.6044,13272,13019
24/4/2012,42.4019,43.037,42.2495,42.9269,13339,12996
23/4/2012,43.0709,43.0709,42.5458,42.8084,4116,14754
20/4/2012,43.4181,43.8161,43.2149,43.4604,5410,15642
19/4/2012,43.2064,43.9008,42.8253,43.2233,17328,15900
18/4/2012,42.6983,43.2403,42.5289,43.0709,17896,15618
17/4/2012,43.0201,43.0201,42.2918,42.7067,11504,15178
16/4/2012,43.1471,43.1471,41.97,42.1732,13000,15472
13/4/2012,43.0116,43.1471,42.5882,42.7914,4500,15812
12/4/2012,42.3257,42.9947,42.0547,42.9269,16925,15883
11/4/2012,42.8846,43.2826,42.2833,42.3426,21568,15315
10/4/2012,42.5543,42.8422,42.0801,42.4442,14192,14643
9/4/2012,42.4442,43.6213,42.1309,42.6644,11038,14675
5/4/2012,42.3595,43.4774,42.3595,43.2826,15089,14793
4/4/2012,43.0794,43.1641,42.2622,42.6729,16102,14909
3/4/2012,43.5197,43.8077,42.9947,43.3588,12940,14476
2/4/2012,44.1125,44.2396,43.5028,43.7568,39708,14385
30/3/2012,44.3835,44.79,44.0109,44.0109,17432,12176
29/3/2012,44.0956,44.5359,43.8331,44.4767,9278,11159
28/3/2012,44.7053,44.8916,44.0532,44.3073,13099,11804
27/3/2012,44.2819,44.9933,44.2819,44.9001,11292,11428
26/3/2012,44.2904,44.4343,43.8161,44.1887,15913,11107
23/3/2012,44.0871,44.4767,43.8839,43.9855,18097,11652
22/3/2012,44.5021,44.5614,44.1803,44.248,5576,10711
21/3/2012,44.9086,44.9086,44.5952,44.8578,8408,12155
20/3/2012,45.1965,45.6115,44.7561,44.8747,11485,13258
19/3/2012,44.4682,45.9587,44.4682,45.7808,14664,13359
16/3/2012,44.3327,45.0271,44.3327,44.8154,12818,13159
15/3/2012,44.9678,44.9678,44.4767,44.5614,16826,13191
14/3/2012,46.1958,46.1958,44.9678,45.1372,9598,12426
13/3/2012,45.3659,45.8655,45.1203,45.8655,11578,12245
12/3/2012,45.39,45.6344,45.0022,45.1118,6574,12045
9/3/2012,45.7355,46.0534,45.567,45.567,2179,12020
8/3/2012,44.4965,45.8536,44.4965,45.8451,18953,12553
7/3/2012,44.7241,45.0663,44.6482,44.8927,7452,11791
6/3/2012,45.3141,45.4827,44.4712,44.7241,6487,11945
5/3/2012,45.5417,45.921,45.1034,45.9126,24084,12418
2/3/2012,46.0306,46.0306,45.5164,45.7018,3989,11528
1/3/2012,44.8084,46.0811,44.7156,45.9463,27226,12526
29/2/2012,44.6229,45.2972,44.2773,45.1202,24957,12271
28/2/2012,44.7999,44.9095,44.3707,44.7999,12999,11386
27/2/2012,44.7999,45.0865,43.9318,45.0107,11672,14359
24/2/2012,44.7072,45.2298,44.7072,45.1034,13289,15218
23/2/2012,45.3141,45.4153,45.2298,45.3984,5356,17836
22/2/2012,45.6344,46.0137,45.2045,45.3984,6880,18556
21/2/2012,46.1907,46.2413,45.7008,45.7946,8576,20124
17/2/2012,46.039,46.393,45.8569,46.1823,6206,21180
16/2/2012,45.8536,46.1823,45.6513,46.1317,10162,21528
15/2/2012,46.2329,46.2329,45.7271,45.7271,7527,22879
14/2/2012,46.5279,46.5869,45.8114,46.0474,9761,23406
13/2/2012,46.7807,47.0336,46.7074,46.7133,13580,23010
10/2/2012,46.3677,46.747,46.1064,46.5784,10746,22921
9/2/2012,47.3118,47.3455,46.2329,46.7133,18948,22914
8/2/2012,45.9041,46.8987,45.9041,46.806,23412,22609
7/2/2012,45.2298,46.0053,45.2298,45.7524,11674,22475
6/2/2012,44.9938,45.7523,44.9938,45.6513,57598,23407
3/2/2012,44.3111,45.4321,44.3111,45.213,24549,20434
2/2/2012,43.8137,44.8674,42.1954,44.134,52567,19765
1/2/2012,44.6735,45.1034,44.1931,44.6314,16150,17456
31/1/2012,45.3647,45.7693,44.1593,44.2352,30411,17527
30/1/2012,45.1624,45.4911,44.6904,45.1961,24408,16665
27/1/2012,45.2972,45.9463,45.2972,45.6175,11429,16681
26/1/2012,46.098,46.3087,45.5248,45.6597,30425,16837
25/1/2012,45.1455,46.1401,44.9601,45.9884,15426,16334
24/1/2012,45.2298,45.6428,45.213,45.6175,3826,16767
23/1/2012,46.1064,46.1064,45.2551,45.5585,12248,20408
20/1/2012,45.4911,46.0727,45.1566,45.3225,10645,22152
19/1/2012,44.3532,46.0221,44.3532,45.7608,14367,23177
18/1/2012,44.6904,45.2551,44.5555,45.095,21402,23744
17/1/2012,44.9769,45.8198,44.9179,44.9264,25647,23415
13/1/2012,45.0865,45.095,44.2352,44.6735,13007,23063
12/1/2012,44.9011,45.4995,43.8306,45.4743,14519,23157
11/1/2012,44.3953,44.8505,43.8593,44.7662,17927,26424
10/1/2012,44.6988,45.0023,44.3701,44.7494,17213,26168
9/1/2012,46.1739,46.275,44.6238,44.7578,17485,28679
6/1/2012,45.5417,45.9716,45.2972,45.8873,24643,29787
5/1/2012,45.1371,45.7153,45.0899,45.5417,13778,29226
4/1/2012,44.016,44.9938,43.9402,44.9938,22871,32690
3/1/2012,45.7693,46.275,44.5555,44.6229,21931,33966
30/12/2011,44.4881,45.9631,43.8559,44.9517,58437,33872
29/12/2011,43.9823,45.095,43.9655,44.3532,38402,32391
28/12/2011,43.2743,44.5049,42.7896,43.9486,26029,33109
27/12/2011,42.6084,43.9823,42.6084,43.2406,22876,35417
23/12/2011,41.0912,42.6927,41.0912,42.6927,16464,35593
22/12/2011,41.3356,41.9004,41.2851,41.8245,20367,36951
21/12/2011,41.9508,41.9508,40.7878,41.0912,14419,37958
20/12/2011,39.7594,42.0774,39.4054,41.7234,63519,40141
19/12/2011,39.8521,40.5848,38.8659,38.8828,14089,37137
16/12/2011,40.3832,40.5265,38.4445,39.9196,54879,36793
15/12/2011,40.7793,40.7793,39.9786,39.9954,34103,33325
14/12/2011,40.1219,40.4843,39.751,40.0123,16225,31529
13/12/2011,40.046,40.8805,39.5908,40.4169,65733,31301
12/12/2011,41.1276,41.1276,39.5512,40.0291,42021,27384
9/12/2011,41.1695,41.5887,41.1359,41.1359,20510,24994
8/12/2011,42.3937,42.3937,40.7335,41.0856,36224,24785
7/12/2011,42.1086,42.3014,41.1611,42.1421,49172,23032
6/12/2011,41.7983,42.7374,41.7396,41.9744,60661,21139
5/12/2011,43.0309,43.4334,40.5322,41.7983,25512,18580
