Date,Open,High,Low,Close,Volume,SMAVG (15)
1/5/2018,24.5893,24.748,23.6069,23.6664,796504,575134
30/4/2018,24.9763,25.0457,24.6091,24.6984,548441,564987
27/4/2018,25.7106,25.7106,24.629,24.8572,875238,558151
26/4/2018,25.7999,25.8793,25.4923,25.6213,299308,533184
25/4/2018,25.8594,25.8594,25.5915,25.6907,451243,571526
24/4/2018,25.8892,26.0777,25.4625,25.6808,476915,623984
23/4/2018,25.5022,26.048,25.4823,25.8495,694330,649075
20/4/2018,26.0281,26.0777,25.4327,25.5617,607758,629200
19/4/2018,26.2464,26.4449,25.9785,25.9983,427104,635014
18/4/2018,26.3556,26.812,26.1968,26.2464,423003,656529
17/4/2018,26.296,26.6284,25.8693,26.4746,480634,688685
16/4/2018,25.9983,26.167,25.4426,25.8892,753299,745411
13/4/2018,26.1472,26.2663,25.661,25.7999,472284,783428
12/4/2018,25.7205,26.2067,25.6213,26.0281,565138,817738
11/4/2018,25.6411,25.9884,25.6113,25.6808,755807,857494
10/4/2018,25.5915,25.9983,25.2442,25.79,644310,854740
9/4/2018,25.6808,26.038,25.3831,25.4129,445892,853040
6/4/2018,25.661,25.8098,25.1946,25.4823,500742,874114
5/4/2018,25.79,26.1075,25.7006,25.79,874432,862971
4/4/2018,24.9167,25.9785,24.5595,25.6808,1238117,853186
3/4/2018,25.661,26.0876,25.0755,25.2243,853282,804743
2/4/2018,25.403,25.5816,25.0755,25.1846,396205,784567
29/3/2018,25.6213,26.177,25.393,25.6312,694965,807590
28/3/2018,25.9983,26.3456,25.532,25.6113,749826,826489
27/3/2018,26.2358,26.8687,25.8501,26.038,905342,855491
26/3/2018,25.4842,27.1654,25.326,26.2259,1331527,858824
23/3/2018,26.8687,26.9379,25.0565,25.1085,1323555,839992
22/3/2018,26.8489,27.2534,26.3841,26.6512,986933,858980
21/3/2018,26.8193,27.4324,26.572,27.0665,1161480,855203
20/3/2018,27.1061,27.6104,26.7698,26.7797,714490,843185
19/3/2018,27.5906,27.7291,26.6907,27.0467,618808,930294
16/3/2018,28.362,28.4312,27.739,27.7884,762009,936537
15/3/2018,28.7674,28.9652,28.0851,28.1642,333595,962296
14/3/2018,29.3113,29.5289,28.718,28.7476,727663,1020402
13/3/2018,29.4003,29.6871,29.0443,29.1432,511469,1030938
12/3/2018,29.1037,29.8023,29.1037,29.341,550641,1044498
9/3/2018,29.4498,29.4498,28.9059,29.2915,741541,1091391
8/3/2018,29.0344,29.4349,28.7773,29.0641,978463,1090710
7/3/2018,29.6673,29.6673,28.451,28.8861,1184852,1120227
6/3/2018,28.8169,29.7267,28.5993,29.6476,955328,1162447
5/3/2018,29.5487,30.0036,28.6883,28.807,1049046,1197921
2/3/2018,28.3817,30.0135,28.0159,29.8058,1608384,1477248
1/3/2018,27.9763,29.1729,27.6005,28.5202,930283,1556796
28/2/2018,28.8169,28.9256,27.917,27.9268,981206,1597344
27/2/2018,27.8675,29.964,27.3038,28.5795,2021118,1596360
26/2/2018,28.2829,28.451,27.8477,27.9763,712462,1526554
23/2/2018,27.917,28.2136,27.5313,28.1246,1148394,1517017
22/2/2018,28.0653,28.362,27.5214,27.6598,1205173,1509382
21/2/2018,28.0356,28.3125,27.4532,27.8477,885713,1498245
20/2/2018,28.7279,28.9553,28.184,28.2927,714862,1496433
16/2/2018,28.0356,29.1037,27.8181,29.0048,1254044,1487029
15/2/2018,28.1939,28.2631,27.1951,28.1444,731316,1445240
14/2/2018,27.1555,28.095,26.6215,27.9466,1421216,1551563
13/2/2018,26.6907,28.3224,26.6314,27.4324,1818162,1485466
12/2/2018,26.661,27.0368,26.0479,26.75,1487440,1409554
9/2/2018,26.5424,27.4324,25.2766,26.5127,5238952,1398531
8/2/2018,31.21,31.4968,29.9244,30.231,2801605,1171940
7/2/2018,32.5352,32.7231,31.1804,31.2397,1538490,1245889
6/2/2018,32.2385,32.8862,31.9814,32.3967,966451,1194004
5/2/2018,32.9604,33.6428,32.6341,32.7824,974027,1171137
2/2/2018,34.1075,34.3647,33.0494,33.1582,569412,1138119
1/2/2018,33.4648,34.4636,33.1285,34.2757,1033865,1133356
31/1/2018,34.3449,34.7306,33.0593,33.4648,1038116,1105514
30/1/2018,33.6131,34.4042,33.178,34.335,858535,1074354
29/1/2018,35.1063,35.1558,34.1669,34.2361,573805,1049134
26/1/2018,35.3635,35.5217,34.8888,35.1261,627200,1029828
25/1/2018,35.3239,36.0755,34.8087,34.9481,2326168,1021580
24/1/2018,34.6712,34.6712,34.0878,34.4932,429762,903459
