,Classifier,Alpha Value,Cross_Val folds,Layer Structure,Prediction Period,Parsing Day range,Score Std,Score average
247,MLPClassifier,0.1,3,"(30, 50, 80)",5,3,0.10090969447931798,0.5176190476190476
248,MLPClassifier,0.1,3,"(30, 50, 90)",5,3,0.12020579481279582,0.5176190476190476
249,MLPClassifier,0.1,3,"(30, 50, 100)",5,3,0.0833673400000552,0.48809523809523814
250,MLPClassifier,0.1,3,"(30, 60, 10)",5,3,0.1026806245481414,0.5561904761904762
251,MLPClassifier,0.1,3,"(30, 60, 20)",5,3,0.11592475470249862,0.5161904761904762
252,MLPClassifier,0.1,3,"(30, 60, 30)",5,3,0.12580083600730185,0.5028571428571428
253,MLPClassifier,0.1,3,"(30, 60, 40)",5,3,0.08716237096112421,0.5428571428571428
254,MLPClassifier,0.1,3,"(30, 60, 50)",5,3,0.09002896989025885,0.5161904761904762
255,MLPClassifier,0.1,3,"(30, 60, 60)",5,3,0.1026806245481414,0.5561904761904762
256,MLPClassifier,0.1,3,"(30, 60, 70)",5,3,0.07825767079685385,0.48952380952380947
257,MLPClassifier,0.1,3,"(30, 60, 80)",5,3,0.07322812490187082,0.5295238095238095
258,MLPClassifier,0.1,3,"(30, 60, 90)",5,3,0.09002896989025885,0.5161904761904762
259,MLPClassifier,0.1,3,"(30, 60, 100)",5,3,0.07322812490187082,0.5295238095238095
260,MLPClassifier,0.1,3,"(30, 70, 10)",5,3,0.07003724308895327,0.5161904761904762
261,MLPClassifier,0.1,3,"(30, 70, 20)",5,3,0.08716237096112421,0.5428571428571428
262,MLPClassifier,0.1,3,"(30, 70, 30)",5,3,0.10090969447931798,0.5176190476190476
263,MLPClassifier,0.1,3,"(30, 70, 40)",5,3,0.10234661661223976,0.5042857142857143
264,MLPClassifier,0.1,3,"(30, 70, 50)",5,3,0.07322812490187082,0.5295238095238095
265,MLPClassifier,0.1,3,"(30, 70, 60)",5,3,0.0891099857993536,0.5147619047619049
266,MLPClassifier,0.1,3,"(30, 70, 70)",5,3,0.06573843586603945,0.4747619047619048
267,MLPClassifier,0.1,3,"(30, 70, 80)",5,3,0.11592475470249862,0.5161904761904762
268,MLPClassifier,0.1,3,"(30, 70, 90)",5,3,0.10845440644180392,0.5295238095238095
269,MLPClassifier,0.1,3,"(30, 70, 100)",5,3,0.061956022732535636,0.5161904761904762
270,MLPClassifier,0.1,3,"(30, 80, 10)",5,3,0.0849195964926867,0.490952380952381
271,MLPClassifier,0.1,3,"(30, 80, 20)",5,3,0.05500772982169013,0.5028571428571429
272,MLPClassifier,0.1,3,"(30, 80, 30)",5,3,0.08529261358390179,0.5042857142857143
273,MLPClassifier,0.1,3,"(30, 80, 40)",5,3,0.1103118646519639,0.5828571428571429
274,MLPClassifier,0.1,3,"(30, 80, 50)",5,3,0.08716237096112421,0.5428571428571428
275,MLPClassifier,0.1,3,"(30, 80, 60)",5,3,0.09708681857047359,0.5028571428571428
276,MLPClassifier,0.1,3,"(30, 80, 70)",5,3,0.1071354494793735,0.490952380952381
277,MLPClassifier,0.1,3,"(30, 80, 80)",5,3,0.11748112213865224,0.530952380952381
278,MLPClassifier,0.1,3,"(30, 80, 90)",5,3,0.09143105155366321,0.5547619047619048
279,MLPClassifier,0.1,3,"(30, 80, 100)",5,3,0.11650426013835498,0.5576190476190477
